ENTRY,AEL VRH bulk modulus,atomic formation enthalpy,space group,Pearson symbol,DATA
Ba3Cl6 [bdc362fd57f037e0],32.2884,-2.54933,189 - P62m,hP9,"[API, Out, JSON ]"
Ba3Na3P3 [fa5b64b1b6cf8843],34.048,-0.802864,189 - P62m,hP9,"[API, Out, JSON ]"
Ba3O1Pb1 [8059c15ef297632f],34.4222,-1.44356,221 - Pm3m,cP5,"[API, Out, JSON ]"
Ba4Ca4Ge4 [e394f16f4357075d],30.316,-0.585432,62 - Pnma,oP12,"[API, Out, JSON ]"
Ba4Ca4Pb4 [84351a3c976236a8],24.9434,-0.595583,62 - Pnma,oP12,"[API, Out, JSON ]"
Ba4Ge8P8 [4821b17f7b370cb9],48.2724,-0.536839,105 - P42mc,tP20,"[API, Out, JSON ]"
Ba4Hg8Tl8 [a2d550bade29107a],29.8276,-0.323393,136 - P42/mnm,tP20,"[API, Out, JSON ]"
Ba4Sb2 [fab61846b1f5c182],23.5643,-0.935357,139 - I4/mmm,tI12,"[API, Out, JSON ]"
Ba4Si8 [571d2fe1358582e6],52.5056,-0.34521,212 - P4332,cP12,"[API, Out, JSON ]"
Ba6C60 [1dd6dacf9f704c70],72.9819,0.165498,204 - Im3,cI132,"[API, Out, JSON ]"
Ba6Ge10 [918c033aad3e4407],36.6308,-0.55143,63 - Cmcm,oS32,"[API, Out, JSON ]"
Ba6Mg23 [e5a9323a46d01884],24.8222,-0.0785718,225 - Fm3m,cF116,"[API, Out, JSON ]"
Ba6O10Si2 [3c5c4e212c7f9076],73.9944,-3.10045,140 - I4/mcm,tI36,"[API, Out, JSON ]"
Ba6P8 [23c79c4a50ec0484],33.8768,-0.997041,43 - Fdd2,oF56,"[API, Out, JSON ]"
Ba6Pb10 [093eac89f3019431],26.8549,-0.505868,63 - Cmcm,oS32,"[API, Out, JSON ]"
Ba6Si46 [66cb7bd138ea245e],76.6944,-0.086886,223 - Pm3n,cP52,"[API, Out, JSON ]"
Ba8Bi6 [6d4bd5e199f2bded],25.0778,-0.924461,220 - I43d,cI28,"[API, Out, JSON ]"
Ba8Ge4 [9bf8a506c5f16d2c],22.0405,-0.491142,62 - Pnma,oP12,"[API, Out, JSON ]"
Ba8Si4 [f4a14c21af9e4959],22.305,-0.310497,62 - Pnma,oP12,"[API, Out, JSON ]"
Ba8Si46 [b7b2d144fc5e6d89],72.9111,-0.107827,223 - Pm3n,cP54,"[API, Out, JSON ]"
Be1O1 [db1f17a6f945c29b],207.65,-2.9731,216 - F43m,cF8,"[API, Out, JSON ]"
